id,fen,mateIn,composer
71d83d4b,1nQ2b2/1P6/p1N4p/P1pk4/2N4p/PBp1P2K/8/8 w - - 0 1,3,Géza Kálniczky
d3510643,8/3BK3/8/8/8/3kN3/8/2Q5 w - - 0 1,3,Ferhat Karmil
8de19f1b,3K4/3B4/3k4/R4p2/1p3p2/2P2p2/8/3rn3 w - - 0 1,3,Alphonse Grunenwald
cf3647d1,8/4B3/4p1N1/2PpP3/3k4/b2P4/2K3N1/8 w - - 0 1,3,Orest Jewetzky
e4442b68,7r/P1N1b1n1/1p6/1Bk2N2/3p2P1/P2p1R2/2P4B/5nK1 w - - 0 1,3,William Meredith
8e06c8fa,2N4b/3p4/4P1KB/2p1k1N1/PpP4p/1n1pr1p1/Q7/8 w - - 0 1,3,Павел Павлович Бобров
aff3a02a,1KN1B3/2N5/p3p1Q1/k1pp4/1p6/1p4pb/1b3pq1/5n2 w - - 0 1,3,Yehuda Lubton
537e3b4e,1K6/1p3p2/kP3R1R/p4PP1/P2P4/8/8/8 w - - 0 1,3,Alain Campbell White
72cf02f2,1b2Q3/ppr1pp2/3kp3/r7/p3P1N1/N1B1PP2/K2P4/8 w - - 0 1,3,Hans Bincer
5adbaeaf,1B1n4/4n2b/KppRp3/2kp4/2N3r1/NpP3p1/1P4B1/8 w - - 0 1,3,Samuel Loyd
7e5b2686,3b4/K2p2n1/1p1R1p2/1p1n1p2/2NkN3/8/3B4/3Q4 w - - 0 1,3,William Finlayson
17995376,8/p2B1b2/3pp1pK/3kp1Pp/1BN1p2P/1P2P3/3P3Q/5r2 w - - 0 1,3,Леонід Аврамович Любашевський
e2148bc5,8/2B3p1/p2p4/NkPpp1R1/N3pn1p/Kp5r/1P1P4/4Q3 w - - 0 1,3,Pieter le Grand
ae482386,8/8/2N3p1/N5Q1/p5P1/P2P4/2k5/B5K1 w - - 0 1,3,Микола Іванович Мироненко
d93b237e,R7/1Q6/3k4/6N1/8/8/8/K7 w - - 0 1,3,Peter Vogel
08916f1a,1nN5/7K/1PpRp2n/4k1P1/1Q1N4/5p2/7P/6rb w - - 0 1,3,Joseph Juchli
26d97462,1k6/p4BR1/1P1K4/8/6n1/8/8/8 w - - 0 1,3,Milenko Đukić
a97b6d91,2KNR1Q1/3Np3/3k2P1/1p4n1/4p3/b2pP3/1r5R/BB6 w - - 0 1,3,Harry A. Boardman
1819e967,8/8/2P2p2/4pN1P/p1P1k3/P4pPp/7P/3K2Q1 w - - 0 1,3,Joseph Henry Scott Finlinson
94ad0416,8/7b/6B1/8/6R1/2K3p1/8/2k5 w - - 0 1,3,Олег Павлович Сакс
a07d298e,1bK4N/7p/3p3n/3N1k1B/2pp1Ppp/7b/4Q3/r6r w - - 0 1,3,Никтополион Павлович Кащеев
07340996,8/2pN4/5pBB/2P5/3kpN2/R7/8/3K4 w - - 0 1,3,Петрашин Петрашиновић
1f0cf9e4,rQ6/3pN2K/q2P1p1B/1n1p1P2/r2pkP2/1p1R2PB/3PP3/7b w - - 0 1,3,Петко Андонов Петков
7237789b,4Bk2/1q2R3/2b3K1/8/1B6/8/8/8 w - - 0 1,3,Hartmut Brozus
c805d1f1,5Q2/1p4K1/1p6/1rp3p1/1pB1k1p1/3N4/5p2/n4N1n w - - 0 1,3,Josef Drnek
df2ecbf0,8/4Nq1N/5pp1/1Q5p/2R1Pk2/R4p1r/1K3P2/8 w - - 0 1,3,Otakar Votruba
a84357ae,8/1p3p2/5R2/2Nk4/4p1p1/pp6/3K1P2/Q7 w - - 0 1,3,Jiří Chocholouš
99e4f261,2r5/q3B2N/r7/1P1k1p2/4R3/2RPbK2/4P3/3N4 w - - 0 1,3,Iosif Schlarko
93fd4812,8/2R4Q/5qp1/P1pPp1k1/2P1Pp1b/4rP2/6PP/5K2 w - - 0 1,3,Милан Велимировић
84e4b060,3k4/4p3/2n5/3N4/K7/7Q/8/8 w - - 0 1,3,Владимир Трофимович Свергунов
13e53be1,1BR2K2/4pQpP/N2P4/P6p/3kb1nR/rr1p4/B2P4/N7 w - - 0 1,3,William Alfred Whyatt
b2e756c9,8/7R/4Ppp1/4p3/K3k3/1P2BN2/1P3PB1/8 w - - 0 1,3,Ottmar Weiß
2f5334f7,5k2/6Rp/1pB4p/5N2/PK1prN2/BpP2Q2/2pnb3/3q1n2 w - - 0 1,3,Fritz Berhausen
3308c53b,8/8/8/6pB/7B/6N1/6k1/4K2R w - - 0 1,3,Alessandro Cuppini
485ab1dd,2Q5/3p1b2/3k1Bp1/6p1/4P1P1/1p6/1P1K4/8 w - - 0 1,3,Huibrecht van Beek
c39986b3,3N4/2n3n1/pB6/Pk2KRP1/p3P1R1/Pb1P4/2P2P1Q/8 w - - 0 1,3,György Bakcsi
a9817fbd,2K5/1N3pp1/7b/3k4/4R2Q/1p1p4/8/7b w - - 0 1,3,Jindřich Šulc
0e9930c1,3K4/1R1p1p2/8/7p/5p1p/B3QqkP/4R1Pb/6n1 w - - 0 1,3,Владимир Ильич Тимонин
6ef32217,8/2N5/8/1P1B4/8/3k4/1Q6/7K w - - 0 1,3,Юрий Никитович Серёжкин
8d845c07,2Q5/1p6/1P1p3K/3k4/5P2/N3P2p/br3N2/8 w - - 0 1,3,Jan Vašta
fccc9b54,B7/8/5P1R/6kp/4K2R/4P3/8/8 w - - 0 1,3,Валентин Анатольевич Симонов
9335fd88,7k/4N2N/6Kp/7n/8/8/8/8 w - - 0 1,3,Карл Артур Леонид Иванович Куббель
4b3bb0a7,3b3n/8/4Q3/8/Np1k1p2/3p4/1N1P4/1K5n w - - 0 1,3,Friedrich Dubbe
aa2d1197,3b4/4p2b/2p1Nn2/2Bk3p/1PN2R2/1n5B/1K1P1P2/8 w - - 0 1,3,Herbert Angeli
51735b77,1Q2N3/8/3p4/1Pk5/6P1/3P4/K3P3/2B5 w - - 0 1,3,Adolph L. Decker
0baf4ee7,KBRrNb2/1B1p2p1/2P1r2q/3kpPPp/8/4Pb2/3N1Pp1/2R3Q1 w - - 0 1,3,Rauf Gadschiaga Aliovsadzade
2dc09f01,8/7B/1p1pP1n1/1K1P1k2/2ppN2p/2P2P1P/3P2PB/5Q2 w - - 0 1,3,Maximilian Philipp Friedrich von Klett
929f2790,2K5/R4pNB/2pBQn2/4n2b/2pk2qR/2Np1rr1/3P4/6b1 w - - 0 1,3,Marek Kwiatkowski
590225f7,2K2B2/8/7n/3k4/B7/8/5Q2/8 w - - 0 1,3,Ramutis Juozėnas
271b45e8,2B5/2R5/K7/n2kpP2/2p1N3/2P5/3P4/8 w - - 0 1,3,Jacob Elson
c3300886,8/1Np5/1r6/3k1B2/bp1N1K2/4p3/1Q6/8 w - - 0 1,3,Bedřich Bosch
f5e1cde0,8/3K1Qp1/8/6N1/6Nk/7P/8/8 w - - 0 1,3,Олексій Е. Файзулін
1365edb0,3n4/5B2/5K1N/3p4/3Nk3/3n1pP1/4r3/2Q5 w - - 0 1,3,Jan Dobruský
1ec6c9fc,8/8/4p2R/4NkB1/B7/4Kpp1/7p/3b4 w - - 0 1,3,Николай Иванович Бантыш
ad8b0f8e,8/8/5p2/5N2/4k3/B2N4/8/1K1Q4 w - - 0 1,3,Владимир Владимирович Кожакин
e8fcca2c,8/1K5b/8/p1p2p2/kb6/2p5/P4Q2/1N6 w - - 0 1,3,Emil Palkoska
c4842e8e,7Q/2p5/2p1p3/3kBB2/5K2/8/1ppPp3/1rrb4 w - - 0 1,3,Miroslav Šindelář
70f0dc63,1nK5/4B1Q1/4k1B1/5N2/1b3p2/8/8/8 w - - 0 1,3,Miroslav Havel
72ff5718,8/q2p1p1k/p1pP1BbN/1PP1P1Pp/8/3R3Q/2B4K/8 w - - 0 1,3,Sigmund Herland
b7818312,8/Pp1p4/3p4/1R1pnK1p/B2kNp2/1pR5/1Ppn4/1rB1r1N1 w - - 0 1,3,Touw Hian Bwee
e876d8ef,2Q5/8/3k4/8/8/P2P2K1/2NB4/8 w - - 0 1,3,Ludwig Fechter
e5333d39,1n6/r2p1p2/p4Rp1/Q5pb/7k/2pN4/2B4K/3R4 w - - 0 1,3,
cefe1f68,5B1r/5RpN/7b/2pk2p1/5PB1/3K4/1P6/3R4 w - - 0 1,3,John Carey Gardner
c43f6b52,2Nk4/2R5/Q1pB2p1/1pP1p1P1/n4ppK/qp5p/1b1r1n2/3r3b w - - 0 1,3,Josef Drnek
4e5168ae,2b2r2/7Q/3Rp2B/1p1PppPN/2B1k1P1/1N6/KP2PP1n/2br4 w - - 0 1,3,Сергей Гарибович Хачатуров
d3cf88e9,8/8/8/2B1p1p1/1K2k1B1/6P1/4P3/3R4 w - - 0 1,3,Fritz Hoffmann
b42ea9d1,4BB2/8/6b1/1p2b2p/1Pk1Np2/7Q/3P4/3K4 w - - 0 1,3,Xenophon Hawkins
4849162f,8/3p4/1NkP2p1/2pR2K1/P7/2Pp4/3P4/1Q6 w - - 0 1,3,Albert Kauders
121d2872,8/3KB3/4B1p1/1n2k2b/2R1pr1r/1Pppb2p/4R2Q/2q1N3 w - - 0 1,3,Zoltán Labai
e2c26687,3R4/4k1P1/5p2/5P2/8/1N6/6K1/8 w - - 0 1,3,György Honfi
0d1f56ce,8/3p4/8/BQ6/5pk1/8/7K/8 w - - 0 1,3,Александр Григорьевич Андреев
d913f041,4N1b1/4B2p/p6P/K1P1k1p1/2p3P1/1P3QP1/8/8 w - - 0 1,3,Václav Tuzar
67c572e4,6b1/3p3q/p2Nn1nR/3k4/PQ6/3NP3/K7/8 w - - 0 1,3,Adriano Chicco
e77d46aa,7n/1p1BQp2/b4P2/1p1k1P2/3p4/2pN1n2/2P5/7K w - - 0 1,3,Emilio Orsini
e70723f2,6b1/r1pR4/2p4N/2N1kpBp/2Pp2p1/P2p4/3K4/8 w - - 0 1,3,Percy Francis Blake
ecfecfca,5Q2/4K3/8/1p6/p3k3/1P2P2N/4R2P/rb6 w - - 0 1,3,Valentí Marín i Llovet
6dfd0f0c,3r2rb/n6R/pQ1p1P2/3k1PP1/B1p2Pp1/p1p5/5NK1/1n6 w - - 0 1,3,Josef V. Mařík
a60c9fc2,8/K7/4Q3/4Np2/4k3/3R4/8/8 w - - 0 1,3,Євгеній Михайлович Богданов
2f74bb08,5N1b/1p2n1n1/pPk1qQ2/P1Pr4/PP2B3/5R2/3N3B/R3K3 w - - 0 1,3,Ladislav jr. Salai
c69b82cb,1Q6/4p3/3pp3/2P1Pp2/P1p2P2/R1P1p2K/1p2N1B1/Nk6 w - - 0 1,3,Otto Fuß
356e0cfd,2k4r/R4p2/6p1/8/KN2B3/p5B1/8/5br1 w - - 0 1,3,Artur Mandler
42b085cd,6b1/2p1R3/5b2/RPPP1P2/2kpN3/B1P1p3/P3P3/1N3B1K w - - 0 1,3,Zoltán Labai
eef8dd25,n3n2N/1B5K/1p2k3/8/1rp1p2B/4p3/8/1b3Q2 w - - 0 1,3,Jan Berkovec
46619d82,7B/qp3N2/7P/6R1/1bBprk2/4p2P/2N3P1/1b4K1 w - - 0 1,3,Zoltán Labai
839dd4b1,4B2n/2p4K/2pP1P2/1r1k1pP1/2p2P2/1p1NB1N1/r5R1/7Q w - - 0 1,3,Robin Charles Olivier Matthews
89904101,1K6/8/2p1P3/4P3/2PNk2P/N7/2PQ4/8 w - - 0 1,3,Edward John Winter-Wood
61e804d8,7k/8/2Q2KP1/8/7p/1q6/8/1b6 w - - 0 1,3,Robert Sinclair Brieger
800af8cc,8/3n2K1/1p4Q1/4k3/R3Np2/1P2b1B1/8/1b5B w - - 0 1,3,Henry Turton
e717688f,4N3/2R2p2/4k1p1/3p4/3P4/3B3K/8/8 w - - 0 1,3,Colin Albert Harry Russ
97b16704,3Qb2r/3p2r1/6p1/1n1PkN2/1P4pP/6P1/2NPPK2/7B w - - 0 1,3,Владимир Петрович Сычов
0070b4ae,2QNn3/8/1pp5/3p4/qP1k1B2/r2B4/4P2K/8 w - - 0 1,3,José Paluzíe y Lucena
11011bd3,8/Q5K1/1pB2P2/1p1N4/2pk4/5PP1/2P1p3/b7 w - - 0 1,3,Charles Dealtry Locock
a7349eeb,B1b4r/8/7P/p6Q/P1PRpNr1/B1PpK2P/3p4/N2kb2R w - - 0 1,3,Hans Ott
6ba78fb7,2Q2b2/1p6/1P1k2P1/1P6/1N6/2B2P2/3P1K2/8 w - - 0 1,3,Benjamin Glover Laws
e3d68929,K7/5pNp/2p1pP2/1pBkp3/1P2N1rq/R1PP2p1/1b6/4rB2 w - - 0 1,3,Владимир Александрович Александров
6d248879,4n2B/1p4R1/p2ppN2/p1PP2b1/4BP2/1Pk1P3/K1N4R/8 w - - 0 1,3,Зоран С. Гавриловски
c46ac49a,8/6p1/2R3P1/3p1Qp1/4p1p1/3pk1Pp/P4R1K/8 w - - 0 1,3,Борис Володимирович Боровик
e495b43e,7K/2Q5/4B3/1k6/1p6/2pb4/8/N1b5 w - - 0 1,3,Евгений Васильевич Фомичёв
5d6d7c71,8/8/4K1pp/6pk/4Q2p/8/8/8 w - - 0 1,3,Werner Speckmann
6801c591,8/8/8/8/1K6/1B1N4/3kP3/1R6 w - - 0 1,3,Nikolaj Zujev
d8c83d27,4NB2/8/8/3R4/2p5/1kp5/2p5/n1K5 w - - 0 1,3,Manfred Zucker
21a8b96c,8/rnb5/3P4/2p5/p3Q1N1/4pP2/4NPP1/1K5k w - - 0 1,3,Kristian Nielsen
e9751c3d,8/1p6/7R/3kp3/p2p4/3N3K/1P3P2/3Q4 w - - 0 1,3,Александр Николаевич Шпаковский
77ddfe98,8/2pN4/2B2Q2/5ppK/4pkp1/5N2/5R2/8 w - - 0 1,3,Zdeněk Libiš
14d8f4fc,2br1n2/8/6p1/6P1/1PpnPN2/2P1N3/1KP1PPR1/7k w - - 0 1,3,Ödön Nagy
4ca2a1fb,3B1KB1/R1p2p2/p7/1pPkP2R/1Q1N4/3P2Pb/4pr2/4N3 w - - 0 1,3,Kənan Vəlixanov
d99d0dd0,8/K1ppN3/4p3/4P3/1R6/k2P4/P7/B1R2B2 w - - 0 1,3,Rudolf L'hermet
07048ccf,5K2/1N6/6N1/1P1kP3/Pp6/1P2P2p/2R4P/6B1 w - - 0 1,3,František Kollmann
1bc3a491,8/7k/8/6Q1/2p3p1/3p4/1n4p1/K5B1 w - - 0 1,3,Ladislav Knotek
b3d8fc4a,B4rb1/1r6/3Np1RR/2P1k1P1/2P1P2N/2P3PK/2nP4/2B5 w - - 0 1,3,Bruno Colaneri
2ee46142,4k3/8/2K2Q1p/8/2p5/4p2r/B3pb1n/2R5 w - - 0 1,3,Siegfried Brehmer
09cdf619,5K2/8/3N4/2N2B2/1PPk4/8/3B4/8 w - - 0 1,3,Jaques Fulpius
86db943c,1Q6/5k2/2PP1B2/8/2K2P2/8/8/8 w - - 0 1,3,Андрей Васильевич Немцов
b26333b5,2K3k1/8/4nRNP/8/B3N3/8/8/8 w - - 0 1,3,Jean Morice
2b9213fa,2b5/3P4/2B4r/1p1QRp2/2ppPp2/2pkp1n1/2R4N/N3K3 w - - 0 1,3,Евгений Васильевич Фомичёв
5130ada1,2N5/B2p4/B2P4/1P1p4/2k5/Pp6/1K3N2/8 w - - 0 1,3,László Schór
f0c4569e,K4B2/1Q5b/2B2kp1/3pp1pp/8/3p2P1/1p6/1nn3r1 w - - 0 1,3,Karel Peter Traxler
fcf8f553,4n3/2n5/7p/2p1R2B/5k1P/1Q1p1p2/8/4B2K w - - 0 1,3,J. G. Chancellor
5945e38e,8/2p5/2Q3B1/8/3k4/4N3/5K2/8 w - - 0 1,3,William Geary
