id,fen,mateIn,composer
ba79c05c,8/2K5/1R6/k7/2B5/p7/1P6/8 w - - 0 1,2,Nils Adrian Bakke
83c177dd,4R1N1/5p1B/p1P1b3/4k1P1/4rp2/BQ2npn1/K1N5/4R3 w - - 0 1,2,Charles William Sheppard
b5e8225f,8/6N1/8/3P4/B3kP1K/2Q5/8/8 w - - 0 1,2,Владимир Михайлович Воронин
699b4589,8/3qr2b/2p5/6PB/1N4RP/3p2Bn/pQ2P1Rr/K2k4 w - - 0 1,2,Валерий Юрьевич Шаньшин
81d2e9a0,2B2q2/BprP1p2/1npkp1N1/2n1N3/2PK3Q/1p6/8/8 w - - 0 1,2,Frank Fiedler
38c16921,8/3pK3/2p2N2/2N2B2/2k2p2/2B2P2/3PP3/8 w - - 0 1,2,Eugene Beauharnais Cook
b08fcdfa,8/8/4Q3/8/p2pp3/3kP3/1P6/3K4 w - - 0 1,2,David Murray Davey
d5bfd122,4K3/2p1PQbB/1P4r1/1p1R3b/1P6/6p1/3B4/k1NN4 w - - 0 1,2,Г. Иванов
9e14d1ba,8/4n3/4P3/R1NpN2R/2pkp3/3p4/1P3P2/3K4 w - - 0 1,2,Євгеній Михайлович Богданов
9dd8b7de,6b1/1Qpp4/B1p5/3n3R/2Nk1p2/5P2/1PPB4/7K w - - 0 1,2,Juraj Šťastný
7be35b1e,2n1b1NK/R2r1k1n/2p2PN1/2P2Pp1/2R2p2/3Q4/B5q1/8 w - - 0 1,2,Станислав Максимович Толстой
c0b26007,5r2/2qp4/2p2R2/5Bp1/rR1B1kP1/3P4/5P2/4NK2 w - - 0 1,2,Herbert Siegfried Oskar Ahues
c0044ddd,KbN4R/p1kpp1R1/n4p2/pPn2B2/Pp5p/1P4rp/7B/2Q5 w - - 0 1,2,Cornelis Goldschmeding
30b5bf57,6K1/1kN5/1PN1B3/8/8/1Q6/8/8 w - - 0 1,2,Николай Иванович Белик
2be0d9e4,K7/2p5/3P4/B3R1N1/3k1P2/1P3pQb/n1P2n1P/6bq w - - 0 1,2,Valeriu Petrovici
09028576,6B1/4n3/4n2Q/2N1NRp1/pB1kP1K1/1b5P/1P3P2/4R3 w - - 0 1,2,Christopher Jeremy Morse
cd574142,b3r3/2P5/Q5P1/KR5N/3Bk1P1/5p1B/N2R4/1n6 w - - 0 1,2,Arthur Ford Mackenzie
8de8c71f,8/6pb/7p/1R3n2/PPk2PQp/p4Np1/1nBK4/1R6 w - - 0 1,2,Jan Hartong
e42629b6,1qn1BBN1/5Rp1/N1r3b1/2bkpP1p/p2p4/3P1K2/7Q/2R5 w - - 0 1,2,Георгий Ибулаевич Ибулаев
e679decb,8/3B4/nK1p2n1/1p1k1p2/3p4/R1PPP2R/N5NB/8 w - - 0 1,2,Ivan Jarolín
550c0bbd,8/4p3/1pKn4/3PN1R1/4k3/1Qp1Pp1r/1q2P3/2n1N1B1 w - - 0 1,2,Herbert Siegfried Oskar Ahues
433562da,2b2B1K/P4p2/1NP1k3/n1P2pP1/2rQ4/4P2B/1q1P4/4R3 w - - 0 1,2,György Bakcsi
ac7f3634,4K3/1kB5/1N6/1N6/P5B1/8/8/8 w - - 0 1,2,Miklós S. Locker
f6c976fd,8/8/2Q2Pq1/4k3/2R2b1N/Kn2p3/1N3n2/8 w - - 0 1,2,Siegfried Brüchner
b6d1496c,r3kN2/p5Q1/8/4B3/7b/8/K7/8 w - - 0 1,2,Николай Александрович Ивановский
529335eb,8/6k1/2NK1NP1/8/6R1/8/7B/8 w - - 0 1,2,Анатолій Степанович Пожарський
b6a485de,r1b3Q1/kp4R1/2p5/2P5/1N3K2/7R/8/8 w - - 0 1,2,Віктор Григорович Павленко
bc27dfc9,k2n4/P7/K7/bP1N4/8/8/8/8 w - - 0 1,2,Renato di Vincenzi
18c8730f,4r3/6N1/8/2BRP1p1/5knn/3PpP1R/4Kb2/8 w - - 0 1,2,Rainer Paslack
3f086040,3r1B2/2Rp1BK1/2p1qP2/3kp2Q/1PpN1Pn1/1PR2P2/1n2N3/8 w - - 0 1,2,Raymond C. J. Gevers
a505b64c,8/8/8/1Q6/3K4/3n4/p7/kbN5 w - - 0 1,2,Eligiusz Zimmer
fd567554,Qn6/1Np2K2/1p6/3kB1p1/3P4/nP2p2p/8/5B2 w - - 0 1,2,Jaroslav Hronec
22e7123e,1q6/4BB1p/p7/R1P1kN2/Q1p1rb1N/6nK/8/8 w - - 0 1,2,Gilbert S. Dobbs
152df235,8/QN1p3K/7p/1P1kB2R/2r5/1N4p1/B6r/4R3 w - - 0 1,2,Gustav Adolf Ekestubbe
1b08c6d8,7B/8/4P3/6kN/1P3N2/2K4B/3P4/8 w - - 0 1,2,György Bakcsi
d35811e8,2Q5/8/3N3R/3k4/3q1pB1/3bb2K/4N3/3R4 w - - 0 1,2,Талип Хасанович Амиров
ca4e6b24,Q7/B2p1K1B/3P4/q1pP4/N1pk1P2/5Rn1/1P4r1/4RN1n w - - 0 1,2,Beat Züger
f3204a89,5K2/N2k4/7R/B2npp2/4rpN1/8/b7/b2Q4 w - - 0 1,2,Allard Pieter Eerkes
35dd83e9,1bq5/4Q3/1p2P1pp/1Rn1k3/2BpP2R/B2PN1K1/4b3/8 w - - 0 1,2,Rainer Paslack
532c47f6,7n/2Kp4/1pp5/1p3Pr1/3kbQp1/1B3n2/1NRP3R/N7 w - - 0 1,2,Александр Сергеевич Кузовков
1b6f7247,8/4k3/1KB3Q1/1pp5/8/8/3R4/5q2 w - - 0 1,2,Werner Speckmann
5560f786,8/8/Q7/3k4/5P2/1P6/3K2N1/8 w - - 0 1,2,Robert A. Lincoln
