id,fen,mateIn,composer
12b8a768,2b5/3p2p1/2PP2Pk/r1p5/p3KN2/4B2N/4P1P1/8 w - - 0 1,5,Евгений Иванович Шаповалов
7fd33ce0,8/1p6/6p1/1B6/3Pp3/1PP1kpP1/1p1p1rpR/bK1R2Q1 w - - 0 1,5,Fritz Emil Giegold
1226e2f3,8/8/4K3/4b3/3pNkN1/8/4P1R1/8 w - - 0 1,5,Rudolf Heinrich Willmers
c0d5b4d2,2bn4/n3N2p/4P3/4p2r/BP1pkpPP/2Pp1p2/3PpQ2/1KN5 w - - 0 1,5,Александр Фёдорович Феоктистов
a915192b,4K2B/4p3/4k2P/P7/R1N1P2R/1pp2PPb/p3P3/q3b3 w - - 0 1,5,Adolf Herrmann Rudolf Ferdinand Kraemer
cd6203b2,8/8/p4p2/4k3/p7/1R1Q4/8/2K5 w - - 0 1,5,Анатолий Г. Епифанов
cb36c5e9,8/6Q1/1p2k3/nP2P3/3K3P/1p2P3/1P6/8 w - - 0 1,5,Michael Szabo
785d671e,kb2R3/pp6/rp6/rp6/bp6/1p6/1K6/2R5 w - - 0 1,5,Martin Wolfgang Hoffmann
aa76091b,k7/P5QK/p2p4/2p2pp1/2B4R/8/3r4/r1b5 w - - 0 1,5,Hans Lepuschütz
ddcdb9c7,7n/1pKBB1R1/rP3N2/p2pk2n/1P2p2b/2P1P1p1/6r1/3b4 w - - 0 1,5,Lutz-Dieter Gruber
33d1b807,8/8/8/6p1/8/2K3Q1/8/kr6 w - - 0 1,5,Werner Speckmann
afcaaac0,6Q1/p1bp4/1pr2pN1/4pk2/2p5/1P4K1/P3P3/8 w - - 0 1,5,Horatio Bolton
a2d12d0d,8/8/3pB1p1/B1kP4/2P5/Np4p1/1Pp3N1/2K5 w - - 0 1,5,Achille Campo
26d5f3c2,2B5/8/5p2/5N2/5Bp1/7k/8/6K1 w - - 0 1,5,Eugene Beauharnais Cook
ba0d2105,8/8/5n2/3p4/2pR4/2p5/P1P1P3/k1K3R1 w - - 0 1,5,Richard Eugene Cheney
288b6b3a,7B/p3p2B/4p1n1/PK2Pk2/2R3pP/1P4p1/2PP2P1/8 w - - 0 1,5,Gerald Ettl
06ec84d8,2k2N2/8/3P4/1R2K3/8/8/n7/8 w - - 0 1,5,Николай Александрович Коблов
10db3320,8/8/2K5/8/N1k1B3/2B5/8/8 w - - 0 1,5,Николай С. Зиновьев
eaef57ab,B5kr/2pp1p1p/5K1p/1p6/R1pQ1p2/7n/3n4/2b5 w - - 0 1,5,Godehard Murkisch
85a9a513,8/1R3N2/2k5/4K3/8/8/4P3/8 w - - 0 1,5,Іван Дмитрович Борисенко
1ee6c42d,3K4/5N2/8/8/5Q2/3k2N1/8/8 w - - 0 1,5,Gerhard Ohlerich
f30de0ac,8/8/pp5R/5k2/5p2/3K4/6R1/8 w - - 0 1,5,Frederick Thomas Hawes
b6bc014d,8/8/7B/1N6/3P4/4Nk2/2P4P/4K3 w - - 0 1,5,Joseph Graham Campbell
9a1f8f71,2N5/7p/2B5/pBk2p2/p6P/P2K4/8/8 w - - 0 1,5,Moriz Henneberger
700eb20f,8/8/2PPP3/3k4/8/3K4/8/3R4 w - - 0 1,5,Edgar Dinwiddie Holladay
2a6c6399,8/3B4/8/2K1k3/8/R7/N7/8 w - - 0 1,5,Napoleon Marache
6d79e6d2,2kB4/2P2p2/1KPp1P2/1P1B4/3P3p/3P4/4p3/8 w - - 0 1,5,Michael Oestreicher
8d31e37b,2B2B2/2P3p1/3PP1P1/3Np3/P1k1p1P1/3pP3/3p4/3K4 w - - 0 1,5,Fredrik af Geijerstam
6a029ee2,r5B1/4b3/3p4/8/1p6/p1qbkpNN/3R4/RQ2K3 w - - 0 1,5,Josef Kling
f5fd3970,r3k3/P2p2p1/2pP2K1/6p1/p2p4/1rp4p/8/5R2 w - - 0 1,5,Віктор Олександрович Мельниченко
c4800c3f,r7/k7/2K3pn/1P6/7p/2p5/1q6/2R1BR2 w - - 0 1,5,Hyacinth R. Agnel
831f321c,3N4/2K1k3/2p5/2P5/3PP3/5P2/2P2P2/3RB3 w - - 0 1,5,Ion Murăraşu
bbe7d395,r3k3/2Bp3Q/2p2p2/pp2pp2/R6b/N5pr/8/K6n w - - 0 1,5,Friedrich Chlubna
278ce4a2,8/8/5pR1/3K4/2P2k2/5p2/5P2/1B6 w - - 0 1,5,Joselito Marcos
42355f30,2k5/8/8/1Q6/2p5/2K5/8/8 w - - 0 1,5,Werner Speckmann
ce575085,3R2qB/5P2/1N5B/1K3P2/RPP1pR2/1B1Pn3/Rppkn1p1/bQbrrbrb w - - 0 1,5,Pierre Drumare
367a893c,8/1p6/1p3pp1/kB1p2Pb/P2P2p1/1R4P1/2K3P1/3N4 w - - 0 1,5,Bruno Oswald Sommer
cf04dfed,3R2Kn/Q4NpR/3p1b2/1N1Bp3/Pkr1p3/5n2/P7/8 w - - 0 1,5,Ralf Krätschmer
881c9bf3,8/b1p1RR1b/3N2pp/q2p2k1/1r1p3p/2rnpB2/3B4/3Q2K1 w - - 0 1,5,Милан Радоје Вукчевић
feb57e37,n7/2p5/2B5/kP1N4/p7/p3R3/K7/8 w - - 0 1,5,Manfred Zucker
0563dd79,2R5/8/pB6/3k1K2/P7/8/4P3/8 w - - 0 1,5,Володимир  Михайлович Чорноус
934bb1d5,1B6/8/7K/7P/7k/8/2B2P2/7N w - - 0 1,5,Валерий Николаевич Барсуков
3f3a2c26,4k1B1/2K1N3/8/6B1/8/3p4/8/8 w - - 0 1,5,Petros Lambrinakos
fe4017c8,8/8/8/2p5/2p2K2/1pP5/1p1QRP2/kr6 w - - 0 1,5,Gerald Sladek
7dfa7bca,8/1N6/8/1N6/1k6/8/PPK5/8 w - - 0 1,5,Николай С. Зиновьев
073a24db,8/8/8/8/4n1N1/4KQnk/7N/8 w - - 0 1,5,Wolfgang Alexander Bruder
7c35bc59,8/3p4/p2P4/P1p5/K1k4p/2P4R/8/3R4 w - - 0 1,5,Werner Speckmann
d2077a2a,5q1k/1K1Q4/5P2/5P2/8/2B5/8/8 w - - 0 1,5,Baldur J. L. Kozdon
dab4de0b,8/k7/p2B4/4K3/N7/5B2/8/8 w - - 0 1,5,Friedhelm Schwieger
4ad59710,3b4/1q1p3B/1n6/R2P3N/6p1/N1P1Bk1P/8/n2K3R w - - 0 1,5,
e29e3f85,8/1ppN4/8/8/3k1K2/1Q6/8/8 w - - 0 1,5,Євгеній Михайлович Богданов
7dcb864f,k4q2/Pp6/1P4R1/8/8/1PP5/2P5/1K1R4 w - - 0 1,5,Franz Sackmann
078d54e6,b3n3/B2p2p1/pR4K1/p3p2N/P3k2p/7R/BP4pp/5nrr w - - 0 1,5,Erwin Moritz Herbert Guttmann
30e8392e,8/8/8/2Q4p/3Bk3/8/5K2/3b4 w - - 0 1,5,Otto Bernard Wurzburg
b8791f24,4r1r1/8/B2N4/1P1k2n1/1K2pPb1/2Q2p1n/2P5/8 w - - 0 1,5,Walter Grimshaw
0ba5ebe6,1N6/8/8/2p5/2K5/5k2/8/B3Q3 w - - 0 1,5,Artur Mandler
bc006970,1k6/1P6/PB6/8/4K3/8/8/8 w - - 0 1,5,Josef Kupper
34067e9f,8/8/2Kpp2p/8/3Pkp2/R5R1/1Qpp4/1b6 w - - 0 1,5,
a36ca0a4,2q3b1/1rp5/4p3/2N1NP2/r4P1n/3p3K/pP1kp1p1/2R1R1B1 w - - 0 1,5,Olivier Schmitt
d4bc1567,8/n7/1p1R4/1k1K4/8/1NR5/8/8 w - - 0 1,5,Wolfgang Alexander Bruder
c33497f0,3B4/b2kN3/4NK2/2P5/8/8/8/8 w - - 0 1,5,Friedrich Josef Blaschke
473c4e93,b2Kn1N1/B2p3n/8/kBN4R/1pP5/1p4r1/1P2p3/8 w - - 0 1,5,Siegfried Brüchner
651e6264,8/7p/7P/8/4p1p1/4p3/4pp2/1K2kb1R w - - 0 1,5,Gerhard Paul Latzel
176b84aa,7Q/n1B1q3/3Pr3/1PP1Npp1/K1Np1kp1/2b2p2/BR3P2/4r1n1 w - - 0 1,5,Joseph Ney Babson
94c4ba5b,8/6p1/6B1/6KP/8/1p2k3/1P1R4/1N6 w - - 0 1,5,Микола Володимирович Кулігін
3fee30c9,8/1NB2pp1/p3rkrb/R5R1/3PP2n/7P/1p6/1K6 w - - 0 1,5,Conrad Bayer
07cb5ae5,6B1/2p1R3/K1k5/3p4/3P4/8/8/8 w - - 0 1,5,Georg Niestroj
0ae2d7fd,4k3/R2R4/8/2p5/Kp2n3/p4N2/1r4b1/b7 w - - 0 1,5,Miroslav Havel
29ea7c16,R7/4k3/8/1P1K3P/8/8/2N4P/8 w - - 0 1,5,Sigmund Herland
a51c7b37,8/8/8/4NNn1/5N2/6P1/8/5K1k w - - 0 1,5,Алёна Владимировна Кожакина
6df49598,8/8/p2p4/P1pP2p1/RpN1BkP1/5P1K/P4P2/8 w - - 0 1,5,Albert E. De Wispelaere
34e4a036,6rk/1rR3p1/6P1/1qP2R2/Qp3pK1/5pn1/2B5/8 w - - 0 1,5,Frank W. Martindale
4ba30878,7b/3N3P/8/3B4/3k2p1/2Np4/p2P4/B2K4 w - - 0 1,5,E. Grosdemange
44ca2b1d,3r2N1/1N1b1p2/1nr1kP2/7p/2P2n2/p7/4P2R/BK1Q4 w - - 0 1,5,William Timbrell Pierce
968e0c82,2R2Kn1/4pp2/1N2kpPp/r6b/pbP5/7R/2B1n2B/8 w - - 0 1,5,Leo Horemans
d09a4ffc,7K/1p5p/p4Qp1/P1k4r/p2N1p1P/1r1pR3/1P2n3/n1N5 w - - 0 1,5,Josef Plachutta
042b1324,kn5Q/p7/P7/8/8/6p1/6K1/7N w - - 0 1,5,Станислав Максимович Толстой
